conceptA,conceptB,prerequisite
Apache_Hadoop,并行编程模型,1
Apache_Hadoop,数据仓库,1
Apache_Hadoop,分布式数据库,1
Apache_Hadoop,大数据,1
Apache_Hadoop,Java,1
Apache_Hadoop,MVC,1
Apache_Hadoop,Java Servlet,0
Apache_Hadoop,JSP,1
Apache_Hadoop,软件工程 ,1
Apache_Hadoop,操作系统,1
Apache_Hadoop,文件系统,1
Apache_Hadoop,中断,1
Apache_Hadoop,虚拟机器,1
Apache_Hadoop,I/O,1
Apache_Hadoop,程序设计,1
Apache_Hadoop,C语言,1
Apache_Hadoop,软件工程,1
Apache_Hadoop,函数,1
Apache_Hadoop,数组,1
Apache_Hadoop,信息安全,1
Apache_Hadoop,软件,1
Apache_Hadoop,技术,1
Apache_Hadoop,需求 (产品开发),1
Apache_Hadoop,计算机网络,1
Apache_Hadoop,传输控制协议,1
Apache_Hadoop,互联网,1
Apache_Hadoop,用户数据报协议,1
Apache_Hadoop,局域网,1
Apache_Hadoop,计算机硬件,1
Apache_Hadoop,计算机存储器,1
Apache_Hadoop,中央处理器,1
Apache_Hadoop,指令,1
Apache_Hadoop,图论,1
Apache_Hadoop,矩阵,1
Apache_Hadoop,关系 (数学),1
Apache_Hadoop,数学模型,1
Apache_Hadoop,面向对象程序设计,1
Apache_Hadoop,C++,1
Apache_Hadoop,异常处理,1
Apache_Hadoop,函数重载,1
Apache_Hadoop,软件架构,1
Apache_Hadoop,软件设计,1
Apache_Hadoop,设计模式 (计算机),1
Apache_Hadoop,软件复用,0
Apache_Hadoop,UML,1
Apache_Hadoop,软件项目管理,1
Apache_Hadoop,项目管理,0
Apache_Hadoop,配置管理,1
Apache_Hadoop,工程管理,1
Apache_Hadoop,软件测试,1
Apache_Hadoop,单元测试,1
Apache_Hadoop,软件质量,1
Apache_Hadoop,算法,1
Apache_Hadoop,时间复杂度,1
Apache_Hadoop,数据库,1
Apache_Hadoop,计算机科学,1
Apache_Hadoop,关系数据库,1
Apache_Hadoop,SQL,1
Apache_Hadoop,关系模型,1
Apache_Hadoop,计算复杂性理论,1
Apache_Hadoop,分治法,1
Apache_Hadoop,动态规划,1
Apache_Hadoop,贪心算法,1
并行编程模型,Apache_Hadoop,0
并行编程模型,数据仓库,1
并行编程模型,分布式数据库,1
并行编程模型,大数据,1
并行编程模型,Java,1
并行编程模型,MVC,1
并行编程模型,Java Servlet,1
并行编程模型,JSP,1
并行编程模型,软件工程 ,0
并行编程模型,操作系统,1
并行编程模型,文件系统,1
并行编程模型,中断,1
并行编程模型,虚拟机器,1
并行编程模型,I/O,1
并行编程模型,程序设计,1
并行编程模型,C语言,1
并行编程模型,软件工程,1
并行编程模型,函数,1
并行编程模型,数组,1
并行编程模型,信息安全,1
并行编程模型,软件,1
并行编程模型,技术,1
并行编程模型,需求 (产品开发),1
并行编程模型,计算机网络,1
并行编程模型,传输控制协议,1
并行编程模型,互联网,1
并行编程模型,用户数据报协议,1
并行编程模型,局域网,1
并行编程模型,计算机硬件,1
并行编程模型,计算机存储器,1
并行编程模型,中央处理器,1
并行编程模型,指令,1
并行编程模型,离散数学,1
并行编程模型,图论,1
并行编程模型,矩阵,1
并行编程模型,关系 (数学),1
并行编程模型,数学模型,1
