course name,course concept(manual)
hadoop大数据技术,"[Apache_Hadoop,并行编程模型,数据仓库,分布式数据库,大数据]"
Java应用开发,"[Java,MVC,Java Servlet,JSP,软件工程 ]"
操作系统原理,"[操作系统,文件系统,中断,虚拟机器,I/O]"
高级语言程序设计,"[程序设计,C语言,软件工程,函数,数组]"
计算机导论,"[信息安全,软件,技术,软件工程,需求(产品开发)]"
计算机网络,"[计算机网络,传输控制协议,互联网,用户数据报协议,局域网]"
计算机组成原理,"[I/O,计算机硬件,计算机存储器,中央处理器,指令]"
离散数学,"[离散数学,图论,矩阵,关系(数学),数学模型]"
面向对象程序设计,"[面向对象程序设计,高级语言,C++,异常处理,函数重载]"
软件工程,"[软件工程,软件,需求 (产品开发),流程图,软件架构]"
软件设计与体系结构,"[软件设计,软件工程,设计模式(计算机),软件复用,UML]"
软件项目管理,"[软件项目管理,项目管理,软件工程,配置管理,工程管理]"
软件质量保证与测试,"[软件测试,单元测试,项目管理,软件工程,软件质量]"
数据结构,"[数据结构,程序设计,离散数学,算法,时间复杂度]"
数据库系统原理,"[数据库,计算机科学,关系数据库,SQL,关系模型]"
算法设计与分析,"[算法,计算复杂性理论,分治法,动态规划,贪心算法]"
