courseA name,courseB name
hadoop大数据技术,面向对象程序设计
Java应用开发,高级语言程序设计
Java应用开发,面向对象程序设计
Java应用开发,数据结构
Java应用开发,数据库系统原理
操作系统原理,计算机组成原理
操作系统原理,数据库系统原理
操作系统原理,计算机导论
计算机网络,计算机导论
计算机网络,计算机组成原理
计算机网络,操作系统原理
计算机组成原理,计算机导论
面向对象程序设计,计算机导论
面向对象程序设计,高级语言程序设计
软件工程,高级语言程序设计
软件工程,面向对象程序设计
软件设计与体系结构,面向对象程序设计
软件设计与体系结构,软件工程
软件项目管理,面向对象程序设计
软件项目管理,数据库系统原理
软件项目管理,软件工程
软件质量保证与测试,面向对象程序设计
软件质量保证与测试,软件工程
数据结构,计算机导论
数据结构,离散数学
数据库系统原理,高级语言程序设计
数据库系统原理,离散数学
数据库系统原理,数据结构
算法设计与分析,高级语言程序设计
算法设计与分析,离散数学
算法设计与分析,数据结构
算法设计与分析,面向对象程序设计
